omega,iterations
0.7251839464882943,74
0.7318060200668897,74
0.7384280936454849,74
0.7450501672240802,74
0.7516722408026756,75
0.7582943143812709,75
0.7649163879598662,77
0.7715384615384615,77
0.7781605351170569,77
0.7847826086956522,77
0.7914046822742474,78
0.7980267558528428,79
0.8046488294314381,80
0.8112709030100335,80
0.8178929765886287,80
0.824515050167224,81
0.8311371237458194,82
0.8377591973244147,82
0.84438127090301,84
0.8510033444816053,84
0.8576254180602007,84
0.864247491638796,85
0.8708695652173913,86
0.8774916387959866,87
0.8841137123745819,88
0.8907357859531773,88
0.8973578595317726,88
0.9039799331103678,90
0.9106020066889632,91
0.9172240802675585,92
0.9238461538461539,92
0.9304682274247491,93
0.9370903010033445,94
0.9437123745819398,96
0.9503344481605351,96
0.9569565217391304,97
0.9635785953177257,97
0.9702006688963211,99
0.9768227424749164,101
0.9834448160535116,101
0.990066889632107,102
0.9966889632107023,103
1.0033110367892977,105
1.0099331103678928,105
1.0165551839464884,106
1.0231772575250835,107
1.0297993311036788,108
1.0364214046822742,110
1.0430434782608695,110
1.0496655518394649,112
1.0562876254180602,114
1.0629096989966555,115
1.069531772575251,115
1.0761538461538462,117
1.0827759197324414,119
1.0893979933110367,120
1.096020066889632,121
1.1026421404682274,123
1.1092642140468227,124
1.115886287625418,125
1.1225083612040134,127
1.1291304347826088,129
1.135752508361204,130
1.1423745819397992,132
1.1489966555183946,134
1.15561872909699,135
1.1622408026755853,136
1.1688628762541806,139
1.175484949832776,140
1.1821070234113713,141
1.1887290969899664,144
1.1953511705685618,145
1.2019732441471571,147
1.2085953177257525,149
1.2152173913043478,150
1.2218394648829431,152
1.2284615384615385,154
1.2350836120401338,155
1.241705685618729,159
1.2483277591973243,160
1.2549498327759196,162
1.261571906354515,165
1.2681939799331103,167
1.2748160535117057,170
1.281438127090301,171
1.2880602006688964,175
1.2946822742474917,175
1.3013043478260868,179
1.3079264214046822,180
1.3145484949832775,183
1.3211705685618729,185
1.3277926421404682,188
1.3344147157190636,191
1.341036789297659,195
1.3476588628762542,196
1.3542809364548494,200
1.3609030100334447,202
1.36752508361204,206
1.3741471571906354,208
1.3807692307692307,211
1.387391304347826,214
1.3940133779264214,217
1.4006354515050168,221
1.407257525083612,224
1.4138795986622072,227
1.4205016722408026,232
1.427123745819398,235
1.4337458193979933,238
1.4403678929765886,243
1.446989966555184,247
1.4536120401337793,250
1.4602341137123744,254
1.4668561872909698,258
1.4734782608695651,263
1.4801003344481605,268
1.4867224080267558,271
1.4933444816053512,277
1.4999665551839465,282
1.5065886287625418,285
1.5132107023411372,292
1.5198327759197323,296
1.5264548494983277,301
1.533076923076923,306
1.5396989966555183,313
1.5463210702341137,319
1.552943143812709,324
1.5595652173913044,332
1.5661872909698997,337
1.5728093645484948,343
1.5794314381270902,351
1.5860535117056855,358
1.5926755852842809,364
1.5992976588628762,372
1.6059197324414716,380
1.612541806020067,388
1.6191638795986623,396
1.6257859531772574,406
1.6324080267558527,412
1.639030100334448,422
1.6456521739130434,433
1.6522742474916388,441
1.658896321070234,454
1.6655183946488294,462
1.6721404682274248,473
1.67876254180602,486
1.6853846153846153,497
1.6920066889632106,508
1.698628762541806,523
1.7052508361204013,537
1.7118729096989966,550
1.718494983277592,566
1.7251170568561873,582
1.7317391304347827,598
1.7383612040133778,616
1.7449832775919731,635
1.7516053511705685,654
1.7582274247491638,673
1.7648494983277592,694
1.7714715719063545,718
1.7780936454849499,742
1.7847157190635452,766
1.7913377926421403,795
1.7979598662207357,822
1.804581939799331,854
1.8112040133779264,886
1.8178260869565217,923
1.824448160535117,961
1.8310702341137124,1000
1.8376923076923077,1000
1.8443143812709029,1000
1.8509364548494982,1000
1.8575585284280935,1000
1.864180602006689,1000
1.8708026755852842,1000
1.8774247491638796,1000
1.884046822742475,1000
1.8906688963210703,1000
1.8972909698996654,1000
1.9039130434782607,1000
1.910535117056856,1000
1.9171571906354514,1000
1.9237792642140468,1000
1.9304013377926421,1000
1.9370234113712375,1000
1.9436454849498328,1000
1.9502675585284281,1000
1.9568896321070233,1000
1.9635117056856186,1000
1.970133779264214,1000
1.9767558528428093,1000
1.9833779264214046,1000
1.99,1000
